,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1925,1,Laurel Street,Molly,Jones,12,Daughter,NA,Female,Student,None,NA
1926,2,Laurel Street,Denise,Fitzgerald,36,Head,Married,Female,"Physicist, medical",None,Methodist
1927,2,Laurel Street,Mathew,Fitzgerald,38,Husband,Married,Male,Interpreter,None,Methodist
1928,2,Laurel Street,Ryan,Fitzgerald,10,Son,NA,Male,Student,None,NA
1929,NA,Laurel Street,Luke,Fitzgerald,9,Son,NA,Male,Student,None,NA
1930,3,Laurel Street,Debra,Hope,55,Head,Married,Female,"Teacher, secondary school",None,None
1931,3,Laurel Street,Glen,Hope,57,Husband,Married,Male,Cartographer,None,None
1932,3,Laurel Street,Paula,Hope,22,Daughter,Divorced,Female,University Student,None,None
1933,3,Laurel Street,Eric,Hope,18,Son,Single,Male,Student,None,None
1934,3,Laurel Street,Holly,Hope,15,Daughter,NA,Female,Student,None,NA
1935,4,Laurel Street,Sylvia,Lee,63,Head,Married,Female,"Engineer, water",None,None
1936,4,Laurel Street,Vincent,Lee,65,Husband,Married,Male,Dramatherapist,None,None
1937,4,Laurel Street,Natalie,Lee,41,Daughter,Single,Female,Scientific laboratory technician,None,None
1938,4,Laurel Street,Clare,Lee,39,Daughter,NA,Female,Museum/gallery curator,None,None
1939,4,Laurel Street,Joanna,Lee,34,Daughter,Single,Female,Textile designer,None,None
1940,4,Laurel Street,Tracy,Lee,30,Daughter,Single,Female,Academic librarian,None,None
1941,5,Laurel Street,Sylvia,Phillips,66,Head,Married,Female,"Surveyor, mining",None,Christian
1942,5,Laurel Street,George,Phillips,67,Husband,Married,Male,Operational researcher,None,Christian
1943,6,Laurel Street,Kayleigh,Kerr,42,Head,Divorced,Female,Unemployed,None,None
1944,6,Laurel Street,Suzanne,Griffiths-Kerr,5,Daughter,NA,Female,Student,None,NA
1945,6,Laurel Street,Frank,Griffiths-Kerr,5,Son,NA,Male,Student,None,NA
1946,7,Laurel Street,Mohammed,Donnelly,22,Head,Single,Male,University Student,None,None
1947,7,Laurel Street,Geoffrey,Davies,19,None,Single,Male,University Student,None,Methodist
1948,7,Laurel Street,Sean,Nicholls,18,None,Single,Male,University Student,None,None
1949,7,Laurel Street,Yvonne,Harrison,31,None,Single,Female,PhD Student,None,Christian
1950,7,Laurel Street,Sian,O'Neill,32,None,Single,Female,PhD Student,None,None
1951,8,Laurel Street,Gavin,Hill,21,Head,Divorced,Male,University Student,None,None
1952,9,Laurel Street,Natasha,Taylor,63,Head,Married,Female,Astronomer,None,Christian
1953,9,Laurel Street,Luke,Taylor,63,Husband,Married,NA,"Teacher, English as a foreign language",None,Christian
1954,9,Laurel Street,Leon,Taylor,22,Son,Single,Male,University Student,None,Christian
1955,9,Laurel Street,Jenna,Taylor,4,Daughter,NA,Female,Child,None,NA
1956,10,Laurel Street,Lisa,Nash,65,Head,Married,Female,"Sound technician, broadcasting/film/video",None,Christian
1957,10,Laurel Street,Charles,Nash,69,Husband,Married,Male,"Retired Engineer, agricultural",None,None
1958,10,Laurel Street,Leslie,Nash,12,Grandson,NA,Male,Student,None,NA
1959,NA,Laurel Street,Abbie,Phillips,49,Head,Single,Female,Dentist,None,Catholic
1960,11,Laurel Street,Barry,Barton,41,Partner,Single,Male,"Secretary, company",None,Catholic
1961,11,Laurel Street,Charles,Phillips,13,Son,NA,Male,Student,None,NA
1962,11,Laurel Street,Emma,Phillips,12,Daughter,NA,Female,Student,None,NA
1963,12,Laurel Street,Tracy,Howarth,53,Head,Married,Female,Retail buyer,None,Christian
1964,12,Laurel Street,Derek,Howarth,55,Husband,Married,Male,Health visitor,None,None
1965,12,Laurel Street,Yvonne,Howarth,17,Daughter,NA,Female,Student,None,NA
1966,12,Laurel Street,Clare,Howarth,15,Daughter,NA,Female,Student,None,NA
1967,13,Laurel Street,Naomi,Thompson,42,Head,Single,Female,Local government officer,None,None
1968,13,Laurel Street,Elliot,Tomlinson,43,Partner,Single,Male,Television production assistant,None,None
1969,14,Laurel Street,Hayley,Carter,40,Head,Single,Female,"Horticulturist, amenity",None,None
1970,14,Laurel Street,Kenneth,Ellis,42,Partner,Single,Male,Training and development officer,None,None
1971,14,Laurel Street,James,Carter,20,Son,Single,Male,"Producer, television/film/video",None,None
1972,14,Laurel Street,Bethan,Carter,20,Daughter,Single,Female,University Student,None,None
1973,14,Laurel Street,Arthur,Carter,18,Son,Single,Male,Student,None,None
1974,14,Laurel Street,Robin,Carter,14,Son,NA,Male,Student,None,NA
1975,15,Laurel Street,Brett,Shaw,32,Head,Married,Male,Geochemist,None,Catholic
1976,15,Laurel Street,Rita,Shaw,31,Wife,Married,Female,Animator,None,None
1977,16,Laurel Street,Diane,Harper,29,Head,Married,Female,Counselling psychologist,None,None
1978,16,Laurel Street,Benjamin,Harper,31,Husband,Married,Male,Manufacturing systems engineer,None,None
1979,16,Laurel Street,Josh,Barker,53,Lodger,Single,Male,"Psychologist, sport and exercise",None,Christian
1980,16,Laurel Street,Phillip,Taylor,22,Lodger,Single,Male,University Student,None,Catholic
1981,17,Laurel Street,Kim,Roberts,34,Head,Married,Female,Textile designer,None,None
1982,17,Laurel Street,Graham,Roberts,35,Husband,Married,Male,"Radiographer, diagnostic",None,None
1983,17,Laurel Street,Elliot,Roberts,8,Son,NA,Male,Student,None,NA
1984,17,Laurel Street,Dale,Roberts,5,Son,NA,Male,Student,None,NA
1985,18,Laurel Street,Maurice,Gregory,70,Head,Widowed,Male,Retired Insurance account manager,None,Christian
1986,19,Laurel Street,Albert,Newton,31,Head,Single,Male,Landscape architect,None,None
1987,1,Howard Drive,Sandra,Kelly,55,Head,Married,Female,Communications engineer,None,Christian
1988,1,Howard Drive,Anthony,Kelly,54,Husband,Married,Male,Unemployed,None,None
1989,1,Howard Drive,Kayleigh,Kelly,23,Daughter,Single,Female,"Buyer, retail",None,None
1990,1,Howard Drive,Daniel,Kelly,16,Son,NA,Male,Student,None,NA
1991,1,Howard Drive,Lisa,Kelly,14,Daughter,NA,Female,Student,None,NA
1992,1,Howard Drive,Neil,Foster-Kelly,11,Adopted Son,NA,Male,Student,None,NA
1993,2,Howard Drive,Laura,French,48,Head,Divorced,Female,"Exhibitions officer, museum/gallery",None,Catholic
1994,2,Howard Drive,Leigh,French,13,Son,NA,m,Student,None,NA
1995,2,Howard Drive,Tom,French,8,Son,NA,Male,Student,None,NA
1996,2,Howard Drive,Jonathan,French,5,Son,NA,Male,Student,None,NA
1997,3,Howard Drive,Suzanne,Norris,28,Head,Married,Female,"Administrator, charities/voluntary organisations",None,Christian
1998,3,Howard Drive,Sean,Norris,31,Husband,Married,Male,Chief Marketing Officer,None,Christian
1999,3,Howard Drive,Leanne,Norris,3,Daughter,NA,Female,Child,None,NA
2000,3,Howard Drive,Kerry,Morton,NA,Lodger,Single,Female,Occupational therapist,None,None
2001,4,Howard Drive,Patricia,Parker,44,Head,Divorced,Female,Unemployed,None,Methodist
2002,4,Howard Drive,Anna,Parker,16,Daughter,NA,Female,Student,None,NA
2003,4,Howard Drive,Shirley,Parker,13,Daughter,NA,Female,Student,None,NA
2004,4,Howard Drive,David,Parker,12,Son,NA,Male,Student,None,NA
2005,5,Howard Drive,Kate,Daly,45,Head,Married,Female,"Designer, graphic",None,Christian
2006,5,Howard Drive,Paul,Daly,42,Husband,Married,Male,Unemployed,None,None
2007,5,Howard Drive,Anne,Daly,6,Daughter,NA,Female,Student,None,NA
2008,5,Howard Drive,Darren,Daly,6,Son,NA,Male,Student,None,NA
2009,5,Howard Drive,Jodie,Daly,1,Daughter,NA,Female,Child,None,NA
2010,5,Howard Drive,Kirsty,Walker,45,Sibling,Single,Female,Theatre stage manager,None,None
2011,6,Howard Drive,Olivia,Hunt,60,Head,Married,Female,Sub,None,Catholic
2012,6,Howard Drive,Paul,Hunt,61,Husband,Married,Male,Corporate treasurer,None,Catholic
2013,6,Howard Drive,Simon,Hunt,40,Son,Single,Male,"Conservator, museum/gallery",None,Catholic
2014,6,Howard Drive,Iain,Hunt,36,Son,Single,Male,Medical technical officer,None,Catholic
2015,6,Howard Drive,Pauline,Hunt,34,Daughter,Single,Female,Garment/textile technologist,None,Catholic
2016,6,Howard Drive,Linda,Hunt,30,Daughter,Divorced,Female,Unemployed,None,Catholic
2017,7,Howard Drive,Vanessa,Holden,30,Head,Divorced,Female,Dentist,None,None
2018,7,Howard Drive,Maurice,Holden,5,Son,NA,Male,Student,None,NA
2019,7,Howard Drive,Janice,Holden,1,Daughter,NA,f,Child,None,NA
2020,8,Howard Drive,Jonathan,Kent,62.83041769675679,Head,Married,Male,Research scientist (life sciences),None,None
2021,8,Howard Drive,Kathleen,Kent,58.83041769675679,Wife,Married,Female,Psychiatric nurse,None,None
2022,8,Howard Drive,Linda,Kent,13,Daughter,NA,Female,Student,None,NA
2023,8,Howard Drive,Caroline,Kent,11,Daughter,NA,Female,Student,None,NA
2024,9,Howard Drive,Rachel,Woods,57,Head,Married,Female,Brewing technologist,None,Catholic
2025,9,Howard Drive,Leon,Woods,62,Husband,Married,Male,Exhibition designer,None,Catholic
2026,9,Howard Drive,Carol,Woods,23,Daughter,Single,Female,Barrister,None,None
2027,9,Howard Drive,Lynda,Woods,15,Daughter,NA,Female,Student,None,NA
2028,10,Howard Drive,Martyn,Barker,66,Head,Married,Male,Jewellery designer,None,Methodist
2029,10,Howard Drive,Amber,Barker,65,Wife,Married,Female,Ship broker,None,Methodist
2030,10,Howard Drive,Jennifer,Harding,11,Granddaughter,NA,Female,Student,None,NA
2031,10,Howard Drive,Shirley,Harding,8,Granddaughter,NA,Female,Student,None,NA
2032,11,Howard Drive,Frances,Harrison,65,Head,Married,Female,"Nurse, children's",None,Christian
2033,11,Howard Drive,Mohamed,Harrison,65,Husband,Married,Male,Jewellery designer,None,Christian
2034,11,Howard Drive,Molly,Harrison,42,Daughter,Divorced,Female,Research scientist (medical),None,Christian
2035,11,Howard Drive,Dylan,Harrison,40,Son,Divorced,Male,Forensic psychologist,None,Christian
2036,12,Howard Drive,Carolyn,Walton,38,Head,Single,female,"Engineer, manufacturing systems",None,Methodist
2037,12,Howard Drive,Damien,Scott,45,Partner,Single,Male,Physiological scientist,None,Methodist
2038,12,Howard Drive,Marion,Kirk-Walton,11,Daughter,NA,Female,Student,None,NA
2039,12,Howard Drive,Melissa,Kirk-Walton,5,Daughter,NA,Female,Student,None,NA
2040,13,Howard Drive,Dorothy,Skinner,47,Head,Widowed,Female,Unemployed,None,None
2041,13,Howard Drive,Oliver,Skinner,10,Son,NA,Male,Student,None,NA
2042,13,Howard Drive,Hollie,Skinner,6,Daughter,NA,Female,Student,None,NA
2043,13,Howard Drive,Oliver,Skinner,4,Son,NA,Male,Child,None,NA
2044,13,Howard Drive,Heather,Price,43,Lodger,Single,f,"Surveyor, rural practice",None,None
2045,14,Howard Drive,Abbie,Barnett,54,Head,Married,Female,"Designer, graphic",None,None
2046,14,Howard Drive,Daniel,Barnett,59,Husband,Married,Male,Hydrographic surveyor,None,None
2047,14,Howard Drive,Sean,Barnett,16,Son,NA,Male,Student,None,NA
2048,14,Howard Drive,Katherine,Barnett,13,Daughter,NA,Female,Student,None,NA
2049,15,Howard Drive,Tracy,Carroll,36,Head,Divorced,Female,Product manager,None,Catholic
2050,15,Howard Drive,Eleanor,Carroll,8,Daughter,NA,Female,Student,None,NA
2051,15,Howard Drive,Jenna,Page-Carroll,4,Daughter,NA,Female,Child,None,NA
2052,15,Howard Drive,Elizabeth,Page-Carroll,1,Daughter,NA,Female,Child,None,NA
2053,16,Howard Drive,Shirley,Scott,60,Head,Married,Female,Energy engineer,None,Catholic
2054,16,Howard Drive,James,Scott,60,Husband,Married,Male,"Teacher, music",None,None
2055,16,Howard Drive,James,Scott,29,Son,Single,Male,Sub,None,Catholic
2056,16,Howard Drive,Joseph,Scott,28,Son,Single,Male,Educational psychologist,None,Catholic
2057,17,Howard Drive,Vanessa,Rowe,24,Head,Married,Female,"Designer, ceramics/pottery",None,None
2058,17,Howard Drive,Gerard,Rowe,23,Husband,Married,Male,Artist,None,None
2059,17,Howard Drive,Francis,Brown,60,Lodger,Single,Male,Press photographer,None,Christian
2060,17,Howard Drive,Karl,Jackson,38,Lodger,Single,Male,"Scientist, water quality",None,None
2061,18,Howard Drive,Gordon,Wilson,49,Head,Single,Male,Toxicologist,None,Methodist
2062,18,Howard Drive,Molly,Smith,42,Partner,Single,F,Child psychotherapist,None,None
2063,18,Howard Drive,Lorraine,Wilson,3,Daughter,NA,female,Child,None,NA
2064,18,Howard Drive,Pauline,Gill,40,Visitor,Single,female,Media planner,None,Catholic
2065,19,Howard Drive,Sheila,Lee,76,Head,Married,Female,Retired Multimedia specialist,None,Christian
2066,19,Howard Drive,George,Lee,79,Husband,Married,Male,Retired Theme park manager,None,None
2067,19,Howard Drive,Gail,Lee,32,Daughter,Single,Female,Accounting technician,None,None
2068,20,Howard Drive,Amber,Duffy,65,Head,Married,Female,Housing manager/officer,None,Christian
2069,20,Howard Drive,Conor,Duffy,66,Husband,Married,Male,"Lecturer, further education",None,Christian
2070,21,Howard Drive,William,Cook,42,Head,Single,Male,Unemployed,None,Christian
2071,1,King Knolls,Josephine,Nicholson,76,Head,Widowed,Female,"Retired Development worker, international aid",None,Christian
2072,2,King Knolls,Marcus,Whitehead,37,Head,Single,Male,Meteorologist,None,Christian
2073,3,King Knolls,Abbie,Hughes,31,Head,Single,Female,Chartered public finance accountant,None,Christian
2074,4,King Knolls,Stephanie,Jackson,78,Head,Widowed,Female,Retired Transport planner,None,None
2075,5,King Knolls,Barbara,Brown,32,Head,Single,Female,"Engineer, chemical",None,Methodist
2076,6,King Knolls,Denise,Hayes,66,Head,Married,Female,Volunteer coordinator,None,None
2077,6,King Knolls,Brett,Hayes,67,Husband,Married,Male,Fitness centre manager,None,None
2078,6,King Knolls,Patrick,Bibi,9,NA,NA,Male,Student,None,NA
2079,7,King Knolls,Stephen,Collins,35,Head,Single,Male,"Pharmacist, community",None,Catholic
2080,8,King Knolls,Marian,Hammond,30,Head,Single,Female,Proofreader,None,Christian
2081,9,King Knolls,Bethany,Fowler,47,Head,Divorced,Female,Video editor,None,Methodist
2082,10,King Knolls,Hazel,Parker,39,Head,Married,Female,English as a second language teacher,None,None
2083,10,King Knolls,Ben,Parker,41,Husband,Married,Male,Hydrologist,None,None
2084,11,King Knolls,Duncan,Hall,64,Head,Married,Male,Advertising account executive,None,Muslim
2085,11,King Knolls,Vanessa,Hall,62,Wife,Married,Female,Barrister's clerk,None,Muslim
2086,12,King Knolls,Ryan,Blackburn,83,Head,Widowed,Male,Retired Brewing technologist,None,Christian
2087,13,King Knolls,Nicole,Talbot,46,Head,Divorced,Female,Art therapist,None,Catholic
2088,13,King Knolls,Lesley,Thomas,58,Lodger,Single,Female,"Surveyor, rural practice",None,Christian
2089,13,King Knolls,Andrew,Taylor,18,Sibling,Single,Male,Student,None,NA
2090,14,King Knolls,Natalie,Rose,18,Head,Single,Female,Student,None,NA
2091,NA,King Knolls,Neil,Mitchell,38,Head,Married,Male,Dramatherapist,None,None
2092,15,King Knolls,Kate,Mitchell,34,Wife,Married,Female,Warehouse manager,None,None
2093,16,King Knolls,Lisa,Ross,20,Head,Divorced,Female,University Student,None,None
2094,17,King Knolls,Lewis,Davies,30,Head,Single,Male,Museum/gallery exhibitions officer,None,None
2095,18,King Knolls,Katherine,Long,50,Head,Single,Female,"Engineer, water",None,None
2096,19,King Knolls,Leon,Wright,38,Head,Divorced,Male,"Designer, blown glass/stained glass",None,None
2097,20,King Knolls,Donna,Mistry,56,Head,Married,Female,NA,None,Methodist
2098,20,King Knolls,Duncan,Mistry,58,Husband,Married,Male,Best boy,None,Methodist
2099,21,King Knolls,Maria,Fox,56,Head,Divorced,Female,Corporate treasurer,None,Christian
2100,22,King Knolls,Bethany,Rhodes,31,Head,Single,Female,"Surveyor, building control",None,None
2101,23,King Knolls,Edward,Shah,43,Head,Single,Male,Unemployed,None,Catholic
2102,23,King Knolls,Danny,Shah,14,Son,NA,Male,Student,None,NA
2103,24,King Knolls,Rhys,Hudson,79,Head,Widowed,Male,Retired Public relations officer,None,Methodist
2104,25,King Knolls,Eileen,Knowles,32,Head,Single,Female,Unemployed,None,Catholic
2105,25,King Knolls,Nigel,Knowles,10,Son,NA,Male,Student,None,NA
2106,26,King Knolls,Terry,Gill,65,Head,Married,Male,"Therapist, nutritional",None,Christian
2107,26,King Knolls,Hollie,Gill,63,Wife,Married,Female,Charity fundraiser,None,None
2108,27,King Knolls,Mandy,Morris,46,Head,Single,Female,Press sub,None,Catholic
2109,28,King Knolls,Brett,Bray,67,Head,Divorced,Male,Applications developer,None,Muslim
2110,29,King Knolls,Terry,Stewart,39,Head,Single,Male,Careers adviser,None,None
2111,30,King Knolls,Brenda,Morgan,71,Head,Divorced,Female,Retired Location manager,None,Christian
2112,31,King Knolls,Katie,Watson,20,Head,Single,Female,University Student,None,Christian
2113,32,King Knolls,Brenda,Jones,41,Head,Divorced,Female,Unemployed,None,None
2114,32,King Knolls,Ross,Green,37,Lodger,Single,Male,Water engineer,None,None
2115,33,King Knolls,Katherine,Lamb,46,Head,Single,Female,"Surveyor, hydrographic",None,None
2116,34,King Knolls,Teresa,Jackson,54,Head,Single,Female,Unemployed,None,None
2117,34,King Knolls,Mark,Rees,50,None,Single,Male,Microbiologist,None,Catholic
2118,34,King Knolls,Vincent,Harvey,30,None,Single,Male,Architectural technologist,None,None
2119,34,King Knolls,Mohamed,Goodwin,36,None,Single,Male,English as a second language teacher,None,None
2120,1,Thomas Brooks,Lisa,Green,41,Head,Single,Female,IT sales professional,None,Methodist
2121,1,Thomas Brooks,Donna,Green,9,Daughter,NA,Female,Student,None,NA
2122,1,Thomas Brooks,Carly,Green,5,Daughter,NA,Female,Student,None,NA
2123,1,Thomas Brooks,Jacqueline,Nicholson,44,Lodger,Single,Female,Building services engineer,None,Methodist
2124,2,Thomas Brooks,Victoria,Matthews,20,Head,Single,Female,University Student,None,Christian
2125,2,Thomas Brooks,Bernard,Richardson,19,None,Single,Male,University Student,None,Christian
2126,2,Thomas Brooks,NA,Lane,21,None,Single,Male,University Student,None,Methodist
2127,2,Thomas Brooks,Janet,Law,21,None,Single,Female,University Student,None,Catholic
2128,3,Thomas Brooks,Carole,Thomas,81,Head,Married,Female,Retired Mudlogger,None,Christian
2129,3,Thomas Brooks,Jonathan,Thomas,85,Husband,Married,m,Retired Further education lecturer,None,None
2130,4,Thomas Brooks,Francis,Oliver,88,Head,Married,Male,"Retired Engineer, site",None,None
2131,4,Thomas Brooks,Zoe,Oliver,83,Wife,Married,Female,Retired Risk manager,None,None
2132,5,Thomas Brooks,Nicole,Bryant,30,Head,Divorced,Female,Unemployed,None,None
2133,5,Thomas Brooks,Geoffrey,Jones,46,Lodger,Single,Male,Passenger transport manager,None,None
2134,5,Thomas Brooks,Kim,Banks,18,Lodger,Single,Female,Student,None,NA
2135,5,Thomas Brooks,Roger,King,42,Lodger,Single,Male,"Doctor, general practice",None,None
2136,6,Thomas Brooks,Sophie,Lawrence,49,Head,Married,Female,Health promotion specialist,None,Methodist
2137,6,Thomas Brooks,Conor,Lawrence,47,Husband,Married,Male,Quantity surveyor,None,None
2138,6,Thomas Brooks,Sarah,Lawrence,5,Daughter,NA,Female,Student,None,NA
2139,6,Thomas Brooks,Victoria,Lawrence,5,Daughter,NA,Female,Student,None,NA
2140,7,Thomas Brooks,Sophie,Kelly,44,Head,Single,Female,Biomedical scientist,None,Catholic
2141,7,Thomas Brooks,Elizabeth,Kelly,11,Daughter,NA,Female,Student,None,NA
2142,7,Thomas Brooks,Lisa,Kelly,8,Daughter,NA,Female,Student,None,NA
2143,7,Thomas Brooks,Anne,Kelly,7,Daughter,NA,Female,Student,None,NA
2144,7,Thomas Brooks,Alexander,Kelly,6,Son,NA,Male,Student,None,NA
2145,7,Thomas Brooks,Declan,Kelly,4,Son,NA,Male,Child,None,NA
2146,7,Thomas Brooks,Josephine,Kelly,4,Daughter,NA,Female,Child,None,NA
2147,8,Thomas Brooks,Pamela,King,53,Head,Married,Female,Armed forces training and education officer,None,Catholic
2148,8,Thomas Brooks,Christopher,King,54,Husband,Married,Male,"Designer, jewellery",None,Catholic
2149,8,Thomas Brooks,Wendy,King,21,Daughter,Single,Female,University Student,None,Christian
2150,8,Thomas Brooks,June,King,16,Daughter,NA,Female,Student,None,NA
2151,9,Thomas Brooks,Linda,Hargreaves,58,Head,Married,Female,Diagnostic radiographer,None,Catholic
2152,9,Thomas Brooks,Gavin,Hargreaves,59,Husband,Married,Male,Retail banker,None,Catholic
2153,9,Thomas Brooks,Carl,Hargreaves,22,Son,Single,Male,University Student,Physical Disability,None
2154,9,Thomas Brooks,Shaun,Burns-Hargreaves,12,Son,NA,Male,Student,None,NA
2155,10,Thomas Brooks,Martyn,Clark,38,Head,Single,Male,Geochemist,None,Catholic
2156,10,Thomas Brooks,Hazel,Begum,33,Partner,Single,Female,Forensic scientist,None,None
2157,10,Thomas Brooks,Marie,Kelly,4,Daughter,NA,Female,Child,None,NA
2158,10,Thomas Brooks,Malcolm,Kelly,1,Son,NA,Male,Child,None,NA
2159,11,Thomas Brooks,Naomi,Shaw,45,Head,Married,Female,Production manager,None,None
2160,11,Thomas Brooks,Terence,Shaw,47,Husband,Married,Male,"Nurse, adult",None,None
2161,11,Thomas Brooks,Michael,Shaw,12,Son,NA,Male,Student,NA,NA
2162,11,Thomas Brooks,Fiona,Shaw,11,Daughter,NA,Female,Student,None,NA
2163,11,Thomas Brooks,Rosemary,Shaw,6,Daughter,NA,Female,Student,None,NA
2164,12,Thomas Brooks,Charlene,Murray,57,Head,Married,Female,"Designer, ceramics/pottery",None,Christian
2165,12,Thomas Brooks,Arthur,Murray,55,Husband,Married,Male,"Designer, ceramics/pottery",None,Christian
2166,12,Thomas Brooks,Joel,Murray,17,Son,NA,Male,Student,None,NA
2167,12,Thomas Brooks,Susan,Murray,14,Daughter,NA,Female,Student,None,NA
2168,12,Thomas Brooks,Dennis,Murray,12,Son,NA,Male,Student,None,NA
2169,13,Thomas Brooks,Carolyn,James,23,Head,Single,Female,PhD Student,None,Methodist
2170,13,Thomas Brooks,Joe,Richardson,22,None,Single,Male,University Student,None,Christian
2171,13,Thomas Brooks,Darren,Young,21,None,Single,Male,University Student,None,None
2172,13,Thomas Brooks,Maureen,Pickering,20,None,Single,Female,University Student,None,Catholic
2173,13,Thomas Brooks,Julian,Knowles,22,None,Single,Male,University Student,None,None
2174,13,Thomas Brooks,Rachel,Bradley,19,None,Single,Female,University Student,None,None
2175,13,Thomas Brooks,Kenneth,Edwards,18,None,Single,Male,University Student,None,None
2176,14,Thomas Brooks,Susan,Ward,46,Head,Single,Female,Production engineer,None,None
2177,14,Thomas Brooks,Gregory,Osborne,52,Partner,Single,Male,Metallurgist,None,None
2178,14,Thomas Brooks,Bethan,Ward,18,Daughter,Single,Female,Student,None,None
2179,14,Thomas Brooks,Vincent,Ward,11,Son,NA,Male,Student,None,NA
2180,15,Thomas Brooks,Carl,Gibson,68,Head,Single,Male,Retired Herbalist,None,Christian
2181,16,Thomas Brooks,Josephine,Bradley-Wells,66,Head,Married,Female,Biomedical engineer,None,Christian
2182,NA,Thomas Brooks,Donald,Bradley-Wells,70,Husband,Married,Male,Retired Insurance account manager,None,Christian
2183,17,Thomas Brooks,Natasha,Fletcher,55,Head,Married,Female,General practice doctor,None,Christian
2184,17,Thomas Brooks,Duncan,Fletcher,57,Husband,Married,m,"Engineer, manufacturing",None,None
2185,17,Thomas Brooks,Eileen,Fletcher,34,Daughter,Single,Female,Unemployed,None,Christian
2186,18,Thomas Brooks,Natalie,Grant,46,Head,Single,Female,Colour technologist,None,Catholic
2187,19,Thomas Brooks,Robert,Dunn,40,Head,Single,Male,Herbalist,None,Methodist
2188,19,Thomas Brooks,Jake,Ward,60,None,Single,Male,Equities trader,None,None
2189,19,Thomas Brooks,Kerry,Day,37,None,Single,Female,"Civil engineer, contracting",None,Catholic
2190,19,Thomas Brooks,Thomas,Taylor,62,None,Single,Male,Plant breeder/geneticist,None,Muslim
2191,20,Thomas Brooks,James,Cox,50,Head,Married,Male,Biomedical scientist,None,Christian
2192,20,Thomas Brooks,Paige,Cox,50,Wife,Married,Female,Advice worker,None,Christian
2193,20,Thomas Brooks,Robin,Cox,21,Step-Son,Widowed,Male,University Student,None,None
2194,20,Thomas Brooks,Bryan,Cox,17,Step-Son,NA,Male,Student,None,NA
2195,21,Thomas Brooks,Tony,Cameron,58,Head,Married,Male,Research scientist (medical),None,Catholic
2196,21,Thomas Brooks,Aimee,Cameron,56,Wife,Married,Female,Radiation protection practitioner,None,Catholic
2197,21,Thomas Brooks,Bernard,Cameron,23,Son,Single,Male,Bonds trader,None,Catholic
2198,21,Thomas Brooks,Shirley,Cameron,18,Daughter,Single,Female,Student,None,Catholic
2199,22,Thomas Brooks,Peter,Dixon,22,Head,Divorced,Male,University Student,None,Christian
2200,22,Thomas Brooks,Tina,Dixon,1,Daughter,NA,Female,Child,None,NA
2201,22,Thomas Brooks,Rita,Dixon,1,Daughter,NA,Female,Child,None,NA
2202,22,Thomas Brooks,Kenneth,Evans,42,Cousin,Divorced,Male,"Designer, multimedia",None,Christian
2203,22,Thomas Brooks,Sarah,Barber,57,NA,Divorced,Female,Chemical engineer,None,None
2204,22,Thomas Brooks,Jemma,Reed,34,Sibling,Single,Female,Actor,None,Christian
2205,23,Thomas Brooks,Denis,Crawford,31,Head,Married,Male,Event organiser,None,Catholic
2206,23,Thomas Brooks,Pamela,Crawford,33,Wife,Married,Female,"Teacher, primary school",None,Catholic
2207,23,Thomas Brooks,Paige,Crawford,13,Daughter,NA,Female,Student,None,NA
2208,24,Thomas Brooks,Linda,Richards,36,Head,Married,Female,Paediatric nurse,None,Christian
2209,24,Thomas Brooks,Stuart,Richards,40,Husband,Married,Male,Actuary,None,Christian
2210,24,Thomas Brooks,Paul,King,2,Son,NA,Male,Child,None,NA
2211,24,Thomas Brooks,Natalie,Mitchell,45,Lodger,Single,Female,"Psychologist, prison and probation services",None,None
2212,25,Thomas Brooks,Russell,Davison-Leach,38,Head,Single,Male,Licensed conveyancer,None,Christian
2213,25,Thomas Brooks,Amanda,Reed,37,Partner,Single,Female,Health physicist,None,None
2214,25,Thomas Brooks,Jacqueline,Davison-Leach,1,Daughter,NA,Female,Child,None,NA
2215,26,Thomas Brooks,Robert,Mellor,66,Head,Married,Male,Land,NA,Christian
2216,26,Thomas Brooks,Denise,Mellor,64,Wife,Married,Female,"Scientist, physiological",None,Christian
2217,26,Thomas Brooks,Dale,Mellor,15,Grandson,NA,Male,Student,None,NA
2218,26,Thomas Brooks,Gavin,Hall,14,Grandson,NA,Male,Student,None,NA
2219,27,Thomas Brooks,Caroline,Fisher,36,Head,Divorced,Female,Fast food restaurant manager,None,Catholic
2220,27,Thomas Brooks,NA,Fisher,11,Son,NA,Male,Student,None,NA
2221,27,Thomas Brooks,Joshua,Fisher,7,Son,NA,Male,Student,None,NA
2222,27,Thomas Brooks,Cameron,Fisher,3,Son,NA,Male,Child,None,NA
2223,28,Thomas Brooks,Amber,Ali,40,Head,Single,Female,Metallurgist,None,None
2224,NA,Thomas Brooks,Bradley,Bond,58,None,Single,Male,"Scientist, marine",None,Christian
2225,28,Thomas Brooks,Lindsey,Oliver,29,None,Single,Female,Comptroller,None,Christian
2226,29,Thomas Brooks,Katie,McCarthy,37,Head,Single,Female,Planning and development surveyor,None,Christian
2227,NA,Thomas Brooks,Russell,Jones,37,Partner,Single,m,"Engineer, agricultural",None,None
2228,30,Thomas Brooks,Victoria,Ashton,56,Head,Married,Female,Arts development officer,None,Christian
